scenario,year,total_production_Mt,ets_cost_USD,estimated_capex_USD,estimated_opex_USD,total_estimated_annual_cost_USD,ets_cost_share_pct
NGFS_Below2C,2038,37.4765877151922,0.0,18738293857.5961,11242976314.557661,29981270172.153763,0.0
NGFS_Below2C,2039,37.2892047766162,105994164.69589256,18644602388.3081,11186761432.98486,29937357985.988853,0.3540531691056354
NGFS_Below2C,2040,37.102758752733095,288926940.9183296,18551379376.36655,11130827625.81993,29971133943.104813,0.9640173824147231
NGFS_Below2C,2041,36.9172449589694,0.0,18458622479.4847,11075173487.690819,29533795967.175518,0.0
NGFS_Below2C,2042,36.7326587341746,186310668.15093213,18366329367.0873,11019797620.25238,29572437655.490612,0.630014577497437
NGFS_Below2C,2043,36.5489954405037,0.0,18274497720.251854,10964698632.15111,29239196352.40296,0.0
NGFS_Below2C,2044,36.36625046330122,61272186.80305056,18183125231.65061,10909875138.990366,29154272557.44403,0.21016537690084053
NGFS_Below2C,2045,36.1844192109847,287456068.613576,18092209605.492348,10855325763.29541,29234991437.401333,0.9832603140284267
NGFS_Below2C,2046,36.00349711492978,531927539.80132824,18001748557.46489,10801049134.478933,29334725231.745148,1.8133032970279621
NGFS_Below2C,2047,35.823479629355134,794730359.8754863,17911739814.677567,10747043888.80654,29453514063.35959,2.6982531122292714
NGFS_Below2C,2048,35.64436223120835,1075907993.5604067,17822181115.60417,10693308669.362505,29591397778.527084,3.635880946256403
NGFS_Below2C,2049,35.46614042005232,1375503612.6494875,17733070210.026157,10639842126.015696,29748415948.691338,4.623787750654997
NGFS_Below2C,2050,35.28880971795205,1693560097.847834,17644404858.976025,10586642915.385614,29924607872.209473,5.659422857201807
NGFS_NDCs,2025,40.0,125100000.00000015,20000000000.0,12000000000.0,32125100000.0,0.389415130225276
NGFS_NDCs,2026,39.8,255000000.0,19900000000.0,11940000000.0,32095000000.0,0.7945162797943606
NGFS_NDCs,2027,39.601,354802500.0,19800500000.0,11880300000.0,32035602500.0,1.107525603740401
NGFS_NDCs,2028,39.402995,548288685.0,19701497499.999996,11820898500.0,32070684684.999996,1.709625754439985
NGFS_NDCs,2029,39.205980024999995,782689531.8375,19602990012.5,11761794007.499998,32147473551.8375,2.4346844257463043
NGFS_NDCs,2030,39.009950124875,1058035810.4894998,19504975062.437496,11702985037.462498,32265995910.389492,3.279104768462508
NGFS_NDCs,2031,38.8149003742506,1184275503.794831,19407450187.125298,11644470112.275179,32236195803.195305,3.6737446038140877
NGFS_NDCs,2032,38.6208258723794,1317151779.2718482,19310412936.1897,11586247761.71382,32213812477.17537,4.0887795575425825
NGFS_NDCs,2033,38.4277217430175,1456682567.3564985,19213860871.50875,11528316522.90525,32198859961.7705,4.524019077340031
NGFS_NDCs,2034,38.235583134302395,1602885678.26582,19117791567.1512,11470674940.290718,32191352185.707737,4.979243086835807
NGFS_NDCs,2035,38.0444052186309,1755778802.751864,19022202609.31545,11413321565.58927,32191302977.656586,5.454202347666756
NGFS_NDCs,2036,37.8541831925377,1915379512.8510938,18927091596.26885,11356254957.76131,32198726066.881252,5.948618926328274
NGFS_NDCs,2037,37.664912276574995,2081705262.6292636,18832456138.287495,11299473682.972498,32213635083.88926,6.462186764108376
NGFS_NDCs,2038,37.476587715192196,2254773388.921824,18738293857.5961,11242976314.557657,32236043561.075584,6.994572347719558
NGFS_NDCs,2039,37.289204776616195,2434601112.069898,18644602388.308098,11186761432.984858,32265964933.362854,7.545415477571948
NGFS_NDCs,2040,37.102758752733095,2621205536.651772,18551379376.36655,11130827625.81993,32303412538.83825,8.114330129983353
NGFS_NDCs,2041,36.9172449589695,2814603652.210021,18458622479.48475,11075173487.69085,32348399619.38562,8.700905409006065
NGFS_NDCs,2042,36.7326587341746,3014812333.9742694,18366329367.0873,11019797620.25238,32400939321.31395,9.304706582969553
NGFS_NDCs,2043,36.548995440503695,3221848343.579566,18274497720.25185,10964698632.151108,32461044695.982525,9.92527620030144
NGFS_NDCs,2044,36.3662504633012,3435728329.780473,18183125231.6506,10909875138.990358,32528728700.421432,10.562135278701994
NGFS_NDCs,2045,36.1844192109847,3656468829.1607714,18092209605.492348,10855325763.29541,32604004197.94853,11.214784561311152
NGFS_NDCs,2046,36.0034971149298,3884086266.8390193,18001748557.4649,10801049134.478941,32686883958.78286,11.882705833130899
NGFS_NDCs,2047,35.8234796293551,4118596957.1697674,17911739814.677547,10747043888.80653,32777380660.653843,12.565363290648039
NGFS_NDCs,2048,35.6443622312084,4360017104.440524,17822181115.6042,10693308669.362518,32875506889.40724,13.262204957348834
NGFS_NDCs,2049,35.4661404200523,4608362803.564661,17733070210.026146,10639842126.01569,32981275139.606495,13.972664137629351
NGFS_NDCs,2050,35.2888097179521,4863650040.76993,17644404858.97605,10586642915.38563,33094697815.131607,14.6961609014788
