scenario,year,total_production_Mt,ets_cost_USD,estimated_capex_USD,estimated_opex_USD,total_estimated_annual_cost_USD,ets_cost_share_pct
NGFS_Below2C,2050,35.28880971795205,6683160097.847833,17644404858.976025,10586642915.385614,34914207872.20947,19.141663251559553
NGFS_NDCs,2025,40.0,125100000.00000009,20000000000.0,12000000000.0,32125100000.0,0.38941513022527585
NGFS_NDCs,2026,39.8,254999999.99999982,19900000000.0,11940000000.0,32095000000.0,0.7945162797943599
NGFS_NDCs,2027,39.601,354802500.00000006,19800500000.0,11880300000.0,32035602500.0,1.1075256037404013
NGFS_NDCs,2028,39.402995,548288685.0000001,19701497499.999996,11820898500.0,32070684684.999996,1.7096257544399855
NGFS_NDCs,2029,39.205980025,782689531.8375003,19602990012.500004,11761794007.5,32147473551.837505,2.434684425746305
NGFS_NDCs,2030,39.009950124875,1058035810.4894998,19504975062.437496,11702985037.462498,32265995910.389492,3.279104768462508
NGFS_NDCs,2031,38.81490037425063,1184275503.7948313,19407450187.125313,11644470112.275188,32236195803.19533,3.673744603814086
NGFS_NDCs,2032,38.62082587237937,1317151779.2718472,19310412936.189686,11586247761.713812,32213812477.175346,4.0887795575425825
NGFS_NDCs,2033,38.42772174301747,1456682567.356498,19213860871.508736,11528316522.905241,32198859961.770477,4.524019077340033
NGFS_NDCs,2034,38.23558313430239,1602885678.2658207,19117791567.151196,11470674940.290718,32191352185.707733,4.97924308683581
NGFS_NDCs,2035,38.04440521863087,1755778802.7518656,19022202609.315434,11413321565.589262,32191302977.656563,5.454202347666765
NGFS_NDCs,2036,37.85418319253772,1915379512.851094,18927091596.26886,11356254957.761316,32198726066.88127,5.948618926328272
NGFS_NDCs,2037,37.66491227657503,2081705262.6292617,18832456138.287514,11299473682.97251,32213635083.889282,6.462186764108364
NGFS_NDCs,2038,37.47658771519215,2254773388.921826,18738293857.596077,11242976314.557646,32236043561.075546,6.994572347719573
NGFS_NDCs,2039,37.2892047766162,2434601112.0698996,18644602388.3081,11186761432.98486,32265964933.36286,7.545415477571951
NGFS_NDCs,2040,37.10275875273312,2621205536.6517696,18551379376.36656,11130827625.819937,32303412538.838272,8.114330129983339
NGFS_NDCs,2041,36.91724495896945,2814603652.2100163,18458622479.484726,11075173487.690834,32348399619.385574,8.700905409006063
NGFS_NDCs,2042,36.7326587341746,3014812333.9742665,18366329367.0873,11019797620.25238,32400939321.313946,9.304706582969544
NGFS_NDCs,2043,36.54899544050372,3221848343.5795665,18274497720.251858,10964698632.151115,32461044695.98254,9.925276200301434
NGFS_NDCs,2044,36.36625046330121,3435728329.7804694,18183125231.650608,10909875138.990364,32528728700.42144,10.562135278701982
NGFS_NDCs,2045,36.1844192109847,3656468829.160769,18092209605.492348,10855325763.29541,32604004197.94853,11.214784561311145
NGFS_NDCs,2046,36.00349711492978,3884086266.8390236,18001748557.46489,10801049134.478933,32686883958.782845,11.882705833130919
NGFS_NDCs,2047,35.82347962935513,4118596957.1697655,17911739814.677563,10747043888.806538,32777380660.653866,12.565363290648024
NGFS_NDCs,2048,35.64436223120835,4360017104.440528,17822181115.60417,10693308669.362505,32875506889.407204,13.262204957348859
NGFS_NDCs,2049,35.46614042005231,4608362803.564656,17733070210.026154,10639842126.015694,32981275139.606503,13.972664137629332
NGFS_NDCs,2050,35.28880971795205,4863650040.76993,17644404858.976025,10586642915.385614,33094697815.13157,14.696160901478816
