scenario,year,technology,production_Mt,market_share_pct
NGFS_Below2C,2033,BF-BOF,36.627721743017474,95.31588156061564
NGFS_Below2C,2033,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2033,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2033,Scrap-EAF,1.8,4.684118439384375
NGFS_Below2C,2033,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2033,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2033,HyREX,-0.0,-0.0
NGFS_Below2C,2034,BF-BOF,36.43558313430239,95.29234327700064
NGFS_Below2C,2034,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2034,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2034,Scrap-EAF,1.8,4.7076567229993715
NGFS_Below2C,2034,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2034,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2034,HyREX,-0.0,-0.0
NGFS_Below2C,2035,BF-BOF,27.24440521863087,71.61212026332036
NGFS_Below2C,2035,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2035,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2035,Scrap-EAF,10.8,28.38787973667963
NGFS_Below2C,2035,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2035,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2035,HyREX,-0.0,-0.0
NGFS_Below2C,2036,BF-BOF,27.054183192537717,71.46946760132701
NGFS_Below2C,2036,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2036,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2036,Scrap-EAF,10.8,28.530532398672992
NGFS_Below2C,2036,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2036,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2036,HyREX,-0.0,-0.0
NGFS_Below2C,2037,BF-BOF,25.208587253056614,66.9285701980371
NGFS_Below2C,2037,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2037,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2037,Scrap-EAF,12.456325023518415,33.07142980196289
NGFS_Below2C,2037,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2037,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2037,HyREX,-0.0,-0.0
NGFS_Below2C,2038,BF-BOF,24.87658771519215,66.3790094878562
NGFS_Below2C,2038,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2038,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2038,Scrap-EAF,12.6,33.62099051214379
NGFS_Below2C,2038,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2038,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2038,HyREX,-0.0,-0.0
NGFS_Below2C,2039,BF-BOF,24.6892047766162,66.21005978679017
NGFS_Below2C,2039,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2039,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2039,Scrap-EAF,12.6,33.78994021320983
NGFS_Below2C,2039,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2039,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2039,HyREX,-0.0,-0.0
NGFS_Below2C,2040,BF-BOF,24.502758752733122,66.04026109225141
NGFS_Below2C,2040,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2040,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2040,Scrap-EAF,12.6,33.95973890774857
NGFS_Below2C,2040,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2040,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2040,HyREX,-0.0,-0.0
NGFS_Below2C,2041,BF-BOF,24.317244958969447,65.86960913794113
NGFS_Below2C,2041,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2041,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2041,Scrap-EAF,12.6,34.130390862058874
NGFS_Below2C,2041,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2041,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2041,HyREX,-0.0,-0.0
NGFS_Below2C,2042,BF-BOF,22.5992543904035,61.52360098393329
NGFS_Below2C,2042,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2042,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2042,Scrap-EAF,14.133404343771096,38.4763990160667
NGFS_Below2C,2042,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2042,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2042,HyREX,-0.0,-0.0
NGFS_Below2C,2043,BF-BOF,22.148995440503718,60.600832317153454
NGFS_Below2C,2043,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2043,FINEX-BOF,-0.0,-0.0
NGFS_Below2C,2043,Scrap-EAF,14.4,39.39916768284655
NGFS_Below2C,2043,NG-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2043,H2-DRI-EAF,-0.0,-0.0
NGFS_Below2C,2043,HyREX,-0.0,-0.0
NGFS_Below2C,2044,BF-BOF,21.966250463301215,60.40284654990299
NGFS_Below2C,2044,BF-BOF+CCUS,-0.0,-0.0
NGFS_Below2C,2044,FINEX-BOF,-0.0,-0.0
